change_id,filename,author,patch_set,id,comment_type,line,in_reply_to,updated,message,unresolved,quarter
250648,specs/approved/irmc-oob-rescue-mode-support.rst,10239,1,9a8ffd7b_97666c28,Line,21,,2015-11-27 13:42:26,I think it should be discussed on a rescue spec itself,False,20
250648,specs/approved/irmc-oob-rescue-mode-support.rst,13719,1,9a8ffd7b_2b92904c,Line,21,9a8ffd7b_97666c28,2015-11-30 05:41:02,Okay.,False,20
250648,specs/approved/irmc-oob-rescue-mode-support.rst,13719,1,9a8ffd7b_4b959430,Line,50,9a8ffd7b_b76930fb,2015-11-30 05:41:02,I'll fix that.,False,20
250648,specs/approved/irmc-oob-rescue-mode-support.rst,10239,1,9a8ffd7b_b76930fb,Line,50,,2015-11-27 13:42:26,this should go to dependencies,False,20
217828,openstack_dashboard/static/app/core/images/steps/edit-image/edit-image.help.html,16352,32,da85f559_88eef9b2,Line,3,,2015-11-13 05:07:39,p tag needs translate attribute,False,20
218639,nova/virt/vmwareapi/volumeops.py,1653,6,da85f559_c8f641d7,Line,335,9a1a9d01_95b1f8e3,2015-11-08 08:55:16,"the code above checks that the host of the instance is able to access the datastore that was selected by cinder. 
if not then we need to relocate to the datastore selected in vmops
that would require calling the relocate twice - the first time with the cinder datatsore and then catching an exception and then again with the vmops datastore
hence i think that we should go with the checks above",False,20
217828,horizon/static/framework/widgets/modal/wizard.controller.spec.js,17013,51,3a7e1126_2b1c63c0,Line,2,3a7e1126_6c8382cd,2015-12-17 18:45:42,"This code is as is from a patch from Thai.

https://review.openstack.org/#/c/222297/

So the copyright notice came from there.

I expect that patch to merge before this one did. In case, this is likelier to merge before I'll add Thai as Co-Author.",False,20
217828,horizon/static/framework/widgets/modal/wizard.controller.spec.js,4264,51,3a7e1126_6c8382cd,Line,2,,2015-12-17 12:56:04,"same here. it amazes me, to see so much IBM code here without anyone from IBM contributing to that patch.",False,20
217828,openstack_dashboard/static/app/core/images/steps/edit-image/edit-image.help.html,16352,32,da85f559_68f15595,Line,2,,2015-11-13 05:07:39,h3 tag needs translate attribute,False,20
218639,nova/virt/vmwareapi/volumeops.py,9171,6,5a2ca52d_3be49b39,Line,326,,2015-10-15 06:59:14,"For VVOL datastores, there is a defult policy which will be returned even if there is no policy associated with the volume's volume type. So the following check will be True always for volumes in VVOL datastores.",False,20
218639,nova/virt/vmwareapi/volumeops.py,9171,6,5a2ca52d_9b27ef63,Line,326,5a2ca52d_3be49b39,2015-10-15 07:06:41,I meant to say that the following check will be False.,False,20
217828,openstack_dashboard/static/app/core/images/steps/edit-image/edit-image.help.html,18508,32,ba8a016a_722614bc,Line,2,da85f559_68f15595,2015-11-16 19:57:13,Done,False,20
218639,nova/virt/vmwareapi/volumeops.py,1653,6,da85f559_a84bbd2a,Line,326,5a2ca52d_9b27ef63,2015-11-08 08:55:16,Done,False,20
250478,ironic/api/controllers/v1/node.py,2889,5,9a8ffd7b_bdccd8bb,Line,918,,2015-12-02 17:18:02,"This is only creating the subresource /v1/nodes/<NNN>/tags -- but not providing any link to it. Such a link from the parent resource is necessary so that clients traversing the RESTful interface can discover the 'tags'. Eg,
  GET /v1/nodes/<NNN>
should return a link to the ""tags"" resource, or should embed it in the parent. For example:

  curl -H 'X-OpenStack-Ironic-API-Version: latest' http://localhost:6385/v1/nodes/foo 2>/dev/null | json_pp | grep ports || echo 'not found'
   ""ports"" : [
         ""href"" : ""http://localhost:6385/v1/nodes/75f21c83-e6a0-43ab-9e81-9942737b87c1/ports"",

Compare that to:

  curl -H 'X-OpenStack-Ironic-API-Version: latest' http://localhost:6385/v1/nodes/foo 2>/dev/null | json_pp | grep tag || echo 'not found'                                       
  not found",False,20
250478,ironic/api/controllers/v1/node.py,2889,5,9a8ffd7b_9dc79497,Line,114,,2015-12-02 17:18:02,"this line generates an error:

2015-12-02 09:03:08.006 21693 ERROR wsme.api [req-56038bd1-fef5-46f7-bd6b-6ca5cd7e7630 - - - - -] Server-side error: ""'NoneType' object is not iterable"". Detail: 
Traceback (most recent call last):

  File ""/opt/source/openstack/ironic/local/lib/python2.7/site-packages/wsmeext/pecan.py"", line 84, in callfunction
    result = f(self, *args, **kwargs)

  File ""/opt/source/openstack/ironic/ironic/api/controllers/v1/node.py"", line 516, in get
    return Tags(tags=_get_tags_names(tags))

  File ""/opt/source/openstack/ironic/ironic/api/controllers/v1/node.py"", line 114, in _get_tags_names
    return [t.tag for t in tags]

TypeError: 'NoneType' object is not iterable",False,20
217828,horizon/static/framework/widgets/modal/wizard.controller.js,17013,51,3a7e1126_ab0ff386,Line,2,3a7e1126_89402058,2015-12-17 18:45:42,"This code is as is from a patch from Thai.

https://review.openstack.org/#/c/222297/

So the copyright notice came from there.

I expect that patch to merge before this one did. In case, this is likelier to merge before I'll add Thai as Co-Author.",False,20
249911,openstack_dashboard/dashboards/project/instances/tables.py,12281,1,9a8ffd7b_e9f3bd9c,Line,905,,2015-11-25 19:08:06,Shouldn't the import be at the top of the file?,False,20
249876,specs/approved/console-port-management.rst,13362,9,1a7b0d38_ce1ed6ba,Line,80,,2015-12-28 07:31:35,"I prefer the alternatives to have console ports in conductor tables. 1. ports number as a resource are belong to conductor nodes. 2.As you said, in the future, the PortBitMap could also manage other ports, so this way is easy to extend. Could you give more disadvantage of the alternatives?",False,20
249876,specs/approved/console-port-management.rst,6610,5,5a710552_45de5312,Line,57,5a710552_26131a68,2015-12-16 15:48:23,Done,False,20
217828,horizon/static/framework/widgets/modal/wizard.controller.js,4264,51,3a7e1126_89402058,Line,2,,2015-12-17 12:56:04,"this is IBM copyright, are you sure you are allowed to add that?",False,20
217617,openstack_dashboard/dashboards/project/instances/utils.py,7179,4,3a29b11f_9c2fd4f5,Line,177,7a2fa921_7124dd0b,2015-10-20 18:52:59,Done,False,20
217617,openstack_dashboard/dashboards/project/instances/utils.py,6763,4,7a2fa921_7124dd0b,Line,177,,2015-10-11 09:39:23,"i don't think that we need the param, [("""", _(""Select Server Group""))] is fine for me",False,20
259072,specs/8.0/bareon-integration.rst,8749,3,3a7e1126_550605cf,Line,86,,2015-12-18 11:32:32,"Start with capital letter the name of the project, i.e. Astute.",False,20
217567,nova/compute/manager.py,1653,33,5a2ca52d_2aef67b1,Line,2713,,2015-10-15 05:13:39,missing space at the end of the line,False,20
244489,nova/conductor/tasks/live_migrate.py,7166,6,7a740942_f80e013a,Line,166,,2015-12-07 13:55:19,"here, that just builds a fresh new request_spec dict that doesn't take care of the original boot request",False,20
217828,openstack_dashboard/static/app/core/images/steps/edit-image/edit-image.help.html,11778,33,da85f559_5cbf3c60,Line,2,,2015-11-14 20:57:21,Do these need to be translated?,False,20
243845,oslo_messaging/_drivers/impl_rabbit.py,7109,4,ba8a016a_64ca96a3,Line,960,,2015-11-23 17:11:57,"I think we should set TTL only to direct and fanout consumer. The first one is used for reply queues, while the second - for fanout ones.

Topic consumer is used for everything else, including Ceilometer queues. Since it is used as a billing solution, I don't think it is tolerable to loose some data just because all consumers died or were stopped for some time.

Or at least lets make that configurable via another boolean parameter, analogous to amqp_auto_delete, which applies to topic case only.",False,20
243845,oslo_messaging/_drivers/impl_rabbit.py,7109,4,ba8a016a_c6a7c909,Line,142,,2015-11-23 17:11:57,There is no need for deprecated_group argument since that is a brand new parameter.,False,20
243845,oslo_messaging/_drivers/impl_rabbit.py,9257,3,ba8a016a_18481087,Line,268,da85f559_774dadc3,2015-11-20 22:23:57,Done,False,20
